identifier,Chosen_C14,Chosen_OtherRadio,Chosen_Calendar,Chosen_Period,AgeFrom,AgeTo
Hertogenbosch|COUN001580|F77,,,1,,675,650
Buiston|COUN000396|F67,,,,1,2599,1250
Buiston|COUN000396|F71,,,,1,2599,1250
Buiston|COUN000396|F74,,,,1,2599,1250
Buiston|COUN000396|F77,,,,1,2599,1250
Buiston|COUN000396|F89,,,,1,2599,1250
Buiston|COUN000523|BugsPresence,,,,,,
Buiston|COUN000523|C108,,,,,,
Buiston|COUN000523|C115,,,,,,
Buiston|COUN000523|C119,,,,,,
Buiston|COUN000523|C12,,,,,,
Buiston|COUN000523|C19,,,,,,
Buiston|COUN000523|C20,,,,,,
Buiston|COUN000523|C207,,,,,,
Buiston|COUN000523|C213,,,,,,
Buiston|COUN000523|C215,,,,,,
Buiston|COUN000523|C223,,,,,,
Buiston|COUN000523|C224,,,,,,
Buiston|COUN000523|C226,,,,,,
Buiston|COUN000523|C227,,,,,,
Buiston|COUN000523|C233,,,,,,
Buiston|COUN000523|C234,,,,,,
Buiston|COUN000523|C235,,,,,,
Buiston|COUN000523|C308,,,,,,
Buiston|COUN000523|C309,,,,,,
Buiston|COUN000523|C310,,,,,,
Buiston|COUN000523|C312,,,,,,
Buiston|COUN000523|C316,,,,,,
Buiston|COUN000523|C325,,,,,,
Buiston|COUN000523|C326,,,,,,
Buiston|COUN000523|C327,,,,,,
Buiston|COUN000523|C341,,,,,,
Buiston|COUN000523|C402,,,,,,
Buiston|COUN000523|C41,,,,,,
Buiston|COUN000523|C45,,,,,,
Buiston|COUN000523|C48,,,,,,
Buiston|COUN000523|C52,,,,,,
Buiston|COUN000523|C55,,,,,,
Buiston|COUN000523|C56,,,,,,
Buiston|COUN000523|C59,,,,,,
Buiston|COUN000523|C71,,,,,,
Buiston|COUN000523|C77,,,,,,
Buiston|COUN000523|C89,,,,,,
Buiston|COUN000929|F12,,,,,,
Buiston|COUN000929|F215,,,,,,
Buiston|COUN000929|F223,,,,,,
Buiston|COUN000929|F227,,,,,,
Buiston|COUN000929|F234,,,,,,
Buiston|COUN000929|F308,,,,,,
Buiston|COUN000929|F312,,,,,,
Buiston|COUN000929|F316,,,,,,
Buiston|COUN000929|F327,,,,,,
Buiston|COUN000929|F341,,,,,,
Buiston|COUN000929|F402,,,,,,
Buiston|COUN000929|F48,,,,,,
Buiston|COUN000929|F56,,,,,,
Bulverhythe: Amsterdam|COUN000610|P1,,,1,,201,201
Bulverhythe: Amsterdam|COUN000610|P2,,,,,,
Bulverhythe: Amsterdam|COUN000610|S5901,,,,,,
Bunny|COUN000057|s1,,,1,,1850,1650
Burghfield|COUN000058|AA1073,,,,1,5000,0
Burghfield|COUN000058|XA820,,,,1,5000,0
Burghfield|COUN000058|XB625,,,,1,5000,0
Burghfield|COUN000058|XJ912,,,,1,5000,0
Burghfield|COUN000058|XJ925,,,,1,5000,0
Burlescombe|COUN001591|Burnt_mound,,,,,,
Burlescombe|COUN001591|Pit_658,,,1,,3382,3371
Burlescombe|COUN001591|spring_678,,,1,,1321,400
Burlescombe|COUN001591|well_546,1,,,,1282,1084
Büderich|COUN000056|s1,,,1,,950,850
Caerwent|COUN000061|s1,,,,1,1907,1540
Cairo Museum mummies|COUN000662|BugsPresence,,,,1,3299,3279
Cala Cupa|COUN001558|BugsPresence,,,1,,1949,1651
Canterbury: Saint Augustines|COUN000032|S1,,,1,,440,440
Canterbury: St John's Hospital|COUN000909|BugsPresence,,,,1,1550,400
Cape Grinnell|COUN001113|House_20,,,1,,100,100
Carlisle: Annetwell Street|COUN000775|BugsPresence,,,,1,1907,1540
Carlisle: Annetwell Street|COUN000865|BugsPresence,,,,1,1907,1540
Carlisle: Annetwell Street|COUN000866|BugsPresence,,,,1,1907,1540
Carlisle: Annetwell Street|COUN000867|BugsPresence,,,,1,1907,1540
Carlisle: Annetwell Street|COUN000868|BugsPresence,,,,1,1907,1540
Carlisle: Annetwell Street|COUN000869|BugsPresence,,,,1,1907,1540
Carlisle: Annetwell Street|COUN000870|BugsPresence,,,,1,1907,1540
Carlisle: Annetwell Street|COUN000871|BugsPresence,,,,1,1907,1540
Carlisle: Annetwell Street|COUN000872|BugsPresence,,,,1,1907,1540
Carlisle: Blackfriars Street|COUN000067|s1,,,,1,1907,400
Carlisle: Castle Millennium Project|COUN001470|BugsPresence,,,,1,1907,1540
Carlisle: Castle Millennium Project|COUN001470|S111,,,,1,1550,400
Carlisle: Castle Millennium Project|COUN001470|S138,,,,1,1907,1540
Carlisle: Castle Millennium Project|COUN001470|S157,,,,1,1907,1540
Carlisle: Castle Millennium Project|COUN001470|S220,,,,1,1907,1540
Carlisle: Castle Millennium Project|COUN001470|S296,,,,1,1907,1540
Carlisle: Castle Millennium Project|COUN001470|S329,,,,1,1907,1540
Carlisle: Castle Millennium Project|COUN001470|S379,,,,1,1907,1540
Carlisle: Castle Millennium Project|COUN001470|S409,,,,1,1907,1540
Carlisle: Castle Millennium Project|COUN001470|S452,,,,1,1907,1540
Carlisle: Castle Millennium Project|COUN001470|S458,,,,1,1907,1540
Carlisle: Castle Millennium Project|COUN001470|S482,,,,1,1907,1540
Carlisle: Castle Millennium Project|COUN001470|S57,,,,1,1907,1540
Carlisle: Castle Millennium Project|COUN001470|S64,,,,1,1907,1540
Carlisle: Castle Street|COUN000399|BugsPresence,,,,,,
Carlisle: Rickergate|COUN000874|Medieval,,,,1,1550,400
Carlisle: Rickergate|COUN000874|Roman,,,,1,1907,1540
Carlisle: The Lanes|COUN000663|BugsPresence,,,,1,1907,1540
Carlisle: The Lanes|COUN000785|BugsPresence,,,,1,1550,400
Carpow|COUN000885|BugsPresence,,,1,,1742,1739
Carrick Castle|COUN000068|F283,,,1,,300,250
Carrick Castle|COUN000068|F289,,,1,,300,250
Carrick Castle|COUN000068|F292,,,1,,300,250
Castelsardo|COUN001625|BugsPresence,,,1,,400,146
Catsgore|COUN000069|S1,,,1,,1700,1550
Catterick|COUN000930|BugsPresence,,,,1,1907,1540
Cave of the Pool|COUN001555|S1,,,,,,
Caves of the Spear|COUN001536|S1,,,1,,1801,1801
Cenobio de Valerón|COUN001676|BugsPresence,,,1,,910,510
Chalain|COUN000514|Fc791V,,,,1,10000,0
Chalain|COUN000514|Fc86VI,,,,1,10000,0
Chalain|COUN000514|Tc79IIc,,,,1,10000,0
Chalain|COUN000514|Tc79IIc_plus,,,,1,10000,0
Chalain|COUN000514|Tc79VI,,,,1,10000,0
Chalain|COUN000514|Tc79VII,,,,1,10000,0
Chalain|COUN000514|Tc79VIII,,,,1,10000,0
Chalain|COUN001571|BugsPresence,,,,,,
Chancellorsland (Ballyhoura Hills)|COUN001087|S177,,,,1,4449,2549
Chancellorsland (Ballyhoura Hills)|COUN001087|S480,,,,1,4449,2549
Chancellorsland (Ballyhoura Hills)|COUN001087|S481,,,,1,4449,2549
Chancellorsland (Ballyhoura Hills)|COUN001087|S508,,,,1,4449,2549
Chancellorsland (Ballyhoura Hills)|COUN001087|S509,,,,1,4449,2549
Chancellorsland (Ballyhoura Hills)|COUN001087|S632a,,,,1,4449,2549
Chancellorsland (Ballyhoura Hills)|COUN001087|S632b,,,,1,4449,2549
Chancellorsland (Ballyhoura Hills)|COUN001087|S639,,,,1,4449,2549
Chancellorsland (Ballyhoura Hills)|COUN001087|S642,,,,1,4449,2549
Chancellorsland (Ballyhoura Hills)|COUN001087|S827,,,,1,4449,2549
Chancellorsland (Ballyhoura Hills)|COUN001087|S849,,,,1,4449,2549
Chardstock|COUN000070|S1,,,1,,550,400
Charleville-Mézières|COUN001642|US11,,,1,,1710,1670
Charleville-Mézières|COUN001642|US12,,,1,,1710,1670
Charleville-Mézières|COUN001642|US8,,,1,,1710,1670
Charleville-Mézières|COUN001642|US9,,,1,,1710,1670
Chelford|COUN000071|S1,,,,1,96000,87000
Chester: Bridge Street|COUN000996|F1632,,,,1,400,0
Chester: Bridge Street|COUN000996|F1635,,,,1,400,0
Chester: Bridge Street|COUN000996|F1697,,,,1,400,0
Chester: Bridge Street|COUN000996|F206,,,,1,400,0
Chester: Bridge Street|COUN000996|F806,,,,1,400,0
Chester: Canal Side|COUN001168|C610,,,1,,250,150
Chew Park|COUN001204|BugsPresence,,,1,,1600,1550
Chichester: Cattle Market|COUN000073|S1,,,1,,1700,1540
Chichester: Vicars Hall|COUN001473|1s,,,,1,400,0
Chichester: Vicars Hall|COUN001473|2s,,,,1,400,0
Chichester: Vicars Hall|COUN001473|3s,,,,1,400,0
Chiribaya Baja|COUN000710|Var_,,,1,,925,925
Chorley: Gillibrand Hall|COUN000975|BugsPresence,,,1,,450,351
Cirencester|COUN000077|s1,,,,1,1907,1540
Claydon Pike|COUN001161|1528/A/3,,,1,,1949,1850
Claydon Pike|COUN001161|1704/C/5,,,1,,1949,1850
Claydon Pike|COUN001161|577/A,,,1,,1949,1850
Claydon Pike|COUN001161|577/N/4,,,1,,1949,1850
Claydon Pike|COUN001161|962/A,,,1,,1949,1850
Claydon Pike|COUN001161|C2490,,,1,,1949,1850
Claydon Pike|COUN001161|C6,,,1,,1949,1850
Claydon Pike|COUN001162|1202/15,,,1,,1907,1750
Claydon Pike|COUN001162|1318/C/3,,,1,,1907,1750
Claydon Pike|COUN001162|1487/A,,,1,,1907,1750
Claydon Pike|COUN001162|2160/B/5,,,1,,1907,1750
Claydon Pike|COUN001162|2495/A/2,,,1,,1907,1750
Claydon Pike|COUN001162|2839/A/5,,,1,,1907,1750
Claydon Pike|COUN001162|2867/A/6,,,1,,1907,1750
Claydon Pike|COUN001162|766/6,,,1,,1907,1750
Claydon Pike|COUN001162|apr-06,,,1,,1907,1750
Claydon Pike|COUN001163|1989/B,,,1,,1750,1550
Claydon Pike|COUN001163|502/7,,,1,,1750,1550
Claydon Pike|COUN001163|700/S/3,,,1,,1750,1550
Claydon Pike|COUN001163|jun-21,,,1,,1750,1550
Claydon Pike|COUN001164|696/2,,,,1,1550,400
Claydon Pike|COUN001164|696/3,,,,1,1550,400
Cléry-Saint-André|COUN001510|S1,,,1,,467,467
Colchester: St Peters Street|COUN000963|BugsPresence,,,1,,1885,1870
Cologne (Köln)|COUN001102|BugsPresence,,,1,,6200,6200
Cologne: St Severin|COUN001663|BugsPresence,,,1,,1600,
Conisbrough|COUN000082|s4052,,,,1,1540,1250
Conisbrough|COUN000082|s413,1,,,,1518,1264
Conisbrough|COUN000082|s416/s0,,,,1,1540,1250
Conisbrough|COUN000082|s416/s10,,,,1,1540,1250
Conisbrough|COUN000082|s416/s20,,,,1,1540,1250
Conisbrough|COUN000082|s416/s30,,,,1,1540,1250
Conisbrough|COUN000082|s416/s35,,,,1,1540,1250
Conisbrough|COUN000082|s439,,,,1,1540,1250
Coolure Demesne|COUN001251|C5,,,,1,2599,1900
"Copa Hill, Cwmystwyth|COUN000083|O12b",1,,,,1817,1612
"Copa Hill, Cwmystwyth|COUN000083|O13_1b",,,,,,
"Copa Hill, Cwmystwyth|COUN000083|O13b",1,,,,3388,3084
"Copa Hill, Cwmystwyth|COUN000083|O19",1,,,,3176,2782
"Copa Hill, Cwmystwyth|COUN000083|O9",1,,,,953,747
Cottam|COUN000086|S1,,,,1,1540,884
Cottingham: Low Farm|COUN000977|C2021,1,,,,3675,3404
Cova de Punta Farisa|COUN001105|BugsPresence,,,,1,4049,3549
Coventry: Jordan Well|COUN001084|C1060,,,,1,1550,400
Coventry: Jordan Well|COUN001084|C1110,,,,1,1550,400
Coventry: Jordan Well|COUN001084|C1207,,,,1,1550,400
Coventry: St Johns Street|COUN001344|S1,,,,1,1550,400
Cowick|COUN000385|s2,,,1,,630,400
Cowick|COUN000385|s5,,,1,,630,400
Cowick|COUN000385|s7,,,1,,630,400
Cowick|COUN000385|s8,,,1,,630,400
Cowick|COUN000385|UB1,,,1,,630,400
Cowick|COUN000385|UB3,,,1,,630,400
Cramond|COUN001627|S1,,,1,,1750,1735
Crawley|COUN001437|C269,,,1,,650,425
"Cronk Moar, Jurby|COUN000876|BugsPresence",,,,1,1150,850
Crossnacreevy|COUN000088|S1,1,,,,3019,1620
Crossnacreevy|COUN000088|S2,1,,,,780,548
Cuevas Muchas-Guayadeque|COUN001677|BugsPresence,,,1,,690,520
Curraheen|COUN001230|BugsPresence,,,,1,4449,2549
Curraheen|COUN001231|BugsPresence,,,,1,4449,2549
Dagenham Hays|COUN001340|BugsPresence,,,,1,4449,2549
Dahshur|COUN001673|BugsPresence,,,,1,4074,3499
Dakhleh Oasis|COUN001375|BugsPresence,,,1,,1979,1700
Dalhousie: Brixwold|COUN000524|C5013,1,,,,1966,1632
Dalhousie: Brixwold|COUN000524|S5006,,,,1,1907,1540
Dalhousie: Brixwold|COUN000524|S5008,,,1,,1850,1540
Dalhousie: Brixwold|COUN000524|S5011,,,1,,1850,1540
Dalton Parlours|COUN000090|Well 1,,,1,,1650,1540
Deir el-Bahri: Horemkenesi|COUN000966|Mummy,1,,,,3568,2794
Deir el-Bahri: Ramses II mummy|COUN000438|S1,,,,1,3299,3279
Deir Rifeh|COUN000801|BugsPresence,,,1,,3934,3722
Denny Abbey|COUN000093|S1,,,,1,1550,400
Denny Abbey|COUN000093|S2,,,,1,1550,400
Denton|COUN000094|S610071E,,,1,,1600,1540
Denton|COUN000094|S610072,,,1,,1600,1540
Denton|COUN000094|S610109B,,,1,,1600,1540
Denton|COUN000094|S610111E,,,1,,1600,1540
Denton|COUN000094|S610112B,,,1,,1600,1540
Denton|COUN000094|S610120,,,1,,1600,1540
Doncaster: High Street|COUN000097|DSR/108,,,1,,450,0
Doncaster: High Street|COUN000097|Prelim,,,1,,450,0
Doncaster: Low Fisher Gate|COUN000826|S1087,,,1,,600,550
Doncaster: Low Fisher Gate|COUN000826|S1378,,,1,,600,550
Doncaster: Low Fisher Gate|COUN000826|S1415,,,1,,600,550
Doncaster: Low Fisher Gate|COUN000826|S1432,,,1,,600,550
Doncaster: Low Fisher Gate|COUN000826|S1456,,,1,,600,550
Doncaster: Low Fisher Gate|COUN001208|BugsPresence,,,,,,
Dordrecht: Statenplein|COUN001582|M145/S583,,,1,,650,551
Dragonby|COUN000099|F2403,,,1,,1925,1885
Drayton|COUN000100|Ditch,,,,1,1907,1540
Drayton|COUN000100|L1137,,,,1,1907,1540
Droitwich: Bays Meadow|COUN000101|S1,,,1,,1700,1540
Droitwich: Bays Meadow|COUN000739|B,,,1,,1680,1590
Droitwich: Bays Meadow|COUN000739|L,,,1,,1680,1590
Droitwich: Bays Meadow|COUN000739|U,,,1,,1680,1590
Droitwich: Upwich|COUN000102|S1,,,,1,1550,400
Drum Castle|COUN000787|BugsPresence,,,,1,1550,400
Drum Castle|COUN000787|S10,,,,1,1550,400
Drum Castle|COUN000787|S11,,,,1,1550,400
Drum Castle|COUN000787|S12,,,,1,1550,400
Drum Castle|COUN000787|S20,,,,1,1550,400
Drum Castle|COUN000787|S21,,,,1,1550,400
Drum Castle|COUN000787|S26,,,,1,1550,400
Drum Castle|COUN000787|S27,,,,1,1550,400
Drum Castle|COUN000787|S28,,,,1,1550,400
Drum Castle|COUN000787|S32,,,,1,1550,400
Drum Castle|COUN000787|S33,,,,1,1550,400
Drum Castle|COUN000787|S34,,,,1,1550,400
Drum Castle|COUN000787|S36,,,,1,1550,400
Drum Castle|COUN000787|S38,,,,1,1550,400
Drum Castle|COUN000787|S45,,,,1,1550,400
Drum Castle|COUN000787|S51,,,,1,1550,400
Drum Castle|COUN000787|S54,,,,1,1550,400
Drum Castle|COUN000787|S55,,,,1,1550,400
Drum Castle|COUN000787|S58,,,,1,1550,400
Drum Castle|COUN000787|S6,,,,1,1550,400
Drum Castle|COUN000787|S7,,,,1,1550,400
Drum Castle|COUN000787|S8,,,,1,1550,400
Drum Castle|COUN000787|S9,,,,1,1550,400
Dublin: Back Lane|COUN000491|BugsPresence,,,1,,750,650
Dublin: Christ Church Place|COUN000402|Ho CP 86/1,,,,1,1150,850
Dublin: Christ Church Place|COUN000402|Pit 46/1,,,,1,1150,850
Dublin: Essex Street West|COUN001049|BugsPresence,,,1,,1100,725
Dublin: Fishamble St.|COUN000602|BugsPresence,,,,1,1550,400
Dublin: Iveagh Markets|COUN001052|BugsPresence,,,1,,675,625
Dublin: Newmarket Street|COUN001235|C161/1i,,,1,,175,125
Dublin: Newmarket Street|COUN001235|C161/1ii,,,1,,175,125
Dublin: Newmarket Street|COUN001235|C161/3i,,,1,,175,125
Dublin: Newmarket Street|COUN001235|C161/3ii,,,1,,175,125
Dublin: Newmarket Street|COUN001235|C250/5i,,,1,,250,200
Dublin: Newmarket Street|COUN001235|C250/5ii,,,1,,250,200
Dublin: Newmarket Street|COUN001235|C296/5i,,,1,,161,0
Dublin: Newmarket Street|COUN001235|C296/5ii,,,1,,161,0
Dublin: Newmarket Street|COUN001235|C296/6i,,,1,,161,0
Dublin: Newmarket Street|COUN001235|C296/6ii,,,1,,154,0
Dublin: Newmarket Street|COUN001235|C365/5i,,,1,,275,225
Dublin: Newmarket Street|COUN001235|C365/5ii,,,1,,275,225
Dublin: Newmarket Street|COUN001235|C38/3i,,,1,,269,225
Dublin: Newmarket Street|COUN001235|C38/3ii,,,1,,269,225
Dublin: Newmarket Street|COUN001235|C38/4,,,,1,400,0
Dublin: Thomas Street|COUN001051|BugsPresence,,,,1,1550,400
Dublin: Wood Quay|COUN000103|BugsPresence,,,,,,
Dublin: Wood Quay|COUN000103|S1,,,,1,1550,400
Dun Vulan|COUN000104|S614,,,,1,2599,1900
Dun Vulan|COUN000104|S617,,,,1,2599,1900
Dun Vulan|COUN000104|S619,,,,1,2599,1900
Dun Vulan|COUN000104|S731,,,,1,2599,1900
Dun Vulan|COUN000104|S745,,,,1,2599,1900
Dun Vulan|COUN000104|S758,,,,1,2599,1900
Dun Vulan|COUN000104|S805B,,,,1,2599,1900
Dun Vulan|COUN000104|S805T,,,,1,2599,1900
Dun Vulan|COUN000104|S817,,,,1,2599,1900
Dun Vulan|COUN000104|S818,,,,1,2599,1900
Dundrennan Abbey|COUN000855|BugsPresence,,,,1,1550,400
Durham: Castle|COUN000606|BugsPresence,,,,1,1550,400
Durham: Sadler Street|COUN000605|S1561,,,,1,1550,400
Durham: Sadler Street|COUN000605|S1574,,,,1,1550,400
Durham: Sadler Street|COUN000605|S1589,,,,1,1550,400
Durham: Sadler Street|COUN000605|S1627,,,,1,1550,400
Durham: Sadler Street|COUN000605|S1726,,,,1,1550,400
Durham: Sadler Street|COUN001200|S1561,,,,,,
Durham: Sadler Street|COUN001200|S1574,,,,,,
Durham: Sadler Street|COUN001200|S1589,,,,,,
Durham: Sadler Street|COUN001200|S1627,,,,,,
Durham: Sadler Street|COUN001200|S1726,,,,,,
Durham: Sadler Street|COUN001200|S1744,,,,,,
Earsham|COUN000105|s1,1,,,,13279,12814
Eastrington: Thorpe Common|COUN001480|S42677,,,,1,2599,1540
Eastrington: Thorpe Common|COUN001480|S42690,,,,,,
Eaton Socon|COUN000980|C500,,,,,,
Eaton Socon|COUN000980|C888,,,1,,1750,1651
Eaton Socon|COUN000980|C909,,,,,,
Edgeoya|COUN000106|S86266,1,,,,10185,9315
Edinburgh: Cowgate|COUN001172|C142,,,,1,1550,400
Edinburgh: Cowgate|COUN001172|C70a,,,,1,1550,400
Edinburgh: Cowgate|COUN001172|C70b,,,,1,1550,400
Edinburgh: Cowgate|COUN001172|C89,,,,1,1550,400
Edinburgh: Cowgate|COUN001172|C90a,,,,1,1550,400
Edinburgh: Cowgate|COUN001172|C90b,,,,1,1550,400
Edinburgh: Grassmarket|COUN001435|C543,,,,1,1550,400
Edinburgh: Grassmarket|COUN001435|C545,1,,,,931,796
Egtved|COUN001533|Grave,,,1,,3319,3319
Eigenblok|COUN001570|BugsPresence,,,,1,4449,2549
Eilean Domhnuill a Spionnaidh|COUN000108|C1008,,,,1,6449,3649
Eilean Domhnuill a Spionnaidh|COUN000108|C563,,,,1,6449,3649
el-Gamhud|COUN001422|Mummy,,,,1,2272,1999
el-Gebelein|COUN001106|BugsPresence,,,,1,4074,3499
El Álamo-Acusa|COUN001522|S1,1,,,,956,797
el Amarna: Ra Nefers House|COUN000727|BugsPresence,,,1,,3299,3274
el Amarna: Workmens Village|COUN000011|All,,,1,,3299,3274
el Amarna: Workmens Village|COUN000011|BugsPresence,,,,,,
El Ashmonein|COUN001511|BugsPresence,,,1,,2474,2292
Emanuel Point|COUN000987|BugsPresence,,,1,,391,391
Emmer Erfscheidenveen|COUN001569|BugsPresence,1,,,,3322,3008
Empingham|COUN000113|S1,,,1,,1675,1650
Engihlid|COUN000115|S1,,,,1,1082,400
Engihlid|COUN000115|S2,,,,1,1082,400
Engihlid|COUN000115|S3,,,,1,1082,400
Engihlid|COUN000115|S4,,,,1,1082,400
Engihlid|COUN000115|S5,,,,1,1082,400
Engihlid|COUN000115|S6,,,,1,1082,400
Engihlid|COUN000115|S7,,,,1,1082,400
Engihlid|COUN000115|S8,,,,1,1082,400
Epigonal|COUN000578|S1,,,1,,719,719
Eqalugialik (V45)|COUN000721|MF2,,,1,,950,600
Eqalugialik (V45)|COUN000721|MF3,,,1,,950,600
Eqalugialik (V45)|COUN000721|MF4,,,1,,950,600
Eqalugialik (V45)|COUN000721|MF5,,,1,,950,600
Eqalugialik (V45)|COUN000721|MF6,,,1,,950,600
Eqalugialik (V45)|COUN000721|Total,,,,,,
Ercolano (Herculaneum)|COUN000107|S1,,,1,,1871,1871
Ercolano (Herculaneum)|COUN001357|BugsPresence,,,,,,
Erkelenz-Kückhoven|COUN000522|1-B-1247-158,,,1,,7006,7006
Erkelenz-Kückhoven|COUN000522|1-B-1247-25,,,1,,7006,7006
Erkelenz-Kückhoven|COUN000522|1-B-1247-27,,,1,,7006,7006
Erkelenz-Kückhoven|COUN000522|1-B-1247-28,,,1,,7006,7006
Erkelenz-Kückhoven|COUN000522|1-B-1247-29,,,1,,7006,7006
Erkelenz-Kückhoven|COUN000522|1-B-1247-30,,,1,,7006,7006
Erkelenz-Kückhoven|COUN000522|1-B-1247-31,,,1,,7006,7006
Erkelenz-Kückhoven|COUN000522|1-B-1247-32,,,1,,7006,7006
Erkelenz-Kückhoven|COUN000522|1-B-1247-65,,,1,,7006,7006
Erkelenz-Kückhoven|COUN000522|1-B-1247-66,,,1,,7006,7006
Erkelenz-Kückhoven|COUN000522|2-B-2712-3,,,1,,7006,7006
Erkelenz-Kückhoven|COUN000522|2-B-2712-5,,,1,,7006,7006
Erkelenz-Kückhoven|COUN000522|2-B-2712-6,,,1,,7006,7006
Erkelenz-Kückhoven|COUN000522|2-B-2712-7,,,1,,7006,7006
Erkelenz-Kückhoven|COUN000522|B-1196-533,,,1,,7006,7006
Erkelenz-Kückhoven|COUN000522|B-1196-534,,,1,,7006,7006
Erkelenz-Kückhoven|COUN000522|B-1196-535,,,1,,7006,7006
Erkelenz-Kückhoven|COUN000522|K-1246-184,,,1,,7006,7006
Erps-Kwerps|COUN000475|S10,,,1,,1800,1700
Erps-Kwerps|COUN000475|S8,,,1,,1800,1700
Erps-Kwerps|COUN000475|S9,,,1,,1800,1700
Etton|COUN000117|a,,,,1,10000,7000
Etton|COUN000117|b,,,,1,10000,7000
Etton|COUN000117|c,,,,1,6449,3649
Etton|COUN000117|d,,,,1,6449,3649
Etton|COUN000117|e,,,,1,6449,3649
Etton|COUN000117|f,,,,1,6449,3649
Etton|COUN000117|g,,,,1,6449,3649
Etton|COUN000117|h,,,,1,6449,3649
Etton|COUN000117|I,,,,1,6449,3649
Etton|COUN000117|j,,,,1,6449,3649
Etton|COUN000117|k,,,,1,6449,3649
Évreux: Le Clos au Duc|COUN001586|Coffin,,,1,,1675,1500
Exeter: Friernhay Street|COUN000118|S1,,,1,,1870,1830
Exeter: Friernhay Street|COUN000118|S2,,,1,,1870,1830
Exeter: Friernhay Street|COUN000118|S3,,,1,,1870,1830
Exeter: Friernhay Street|COUN000118|S4,,,1,,1870,1830
Exeter|COUN000793|BugsPresence,,,,1,1550,400
Eythra|COUN001099|Well_2,,,,1,6449,3649
Eythra|COUN001101|BugsPresence,,,,1,6449,3649
Eythra|COUN001574|BugsPresence,,,,1,6449,3649
Farmoor: IA/Rom.|COUN000595|S1007/1,,,,1,2599,1900
Farmoor: IA/Rom.|COUN000595|S1009/1,,,,1,2599,1900
Farmoor: IA/Rom.|COUN000595|S1046/2,,,,1,1907,1540
Farmoor: IA/Rom.|COUN000595|S1060/2,,,,1,1907,1540
Farmoor: IA/Rom.|COUN000595|S1072,,,,1,1907,1540
Farmoor: IA/Rom.|COUN000595|S1074/4,,,,1,1907,1540
Farmoor: IA/Rom.|COUN000595|S1100/1,,,,1,2599,1900
Farmoor: IA/Rom.|COUN000595|S1159,,,,1,2599,1900
Farmoor: IA/Rom.|COUN000595|S1169,,,,1,1907,1540
Farmoor: IA/Rom.|COUN000595|S1172,,,,1,2599,1900
Farmoor: IA/Rom.|COUN000595|S17/4,,,,1,1907,1540
Farmoor: IA/Rom.|COUN000595|S43/10,,,,1,1907,1540
Farmoor: IA/Rom.|COUN000595|S590/4,,,,1,2599,1900
Faverdale|COUN001266|BugsPresence,,,,1,2599,1900
Faxadalur|COUN001393|S1,,,,1,1082,400
Faxadalur|COUN001393|S10,,,,1,1082,400
Faxadalur|COUN001393|S11,,,,1,1082,400
Faxadalur|COUN001393|S12,,,,1,1082,400
Faxadalur|COUN001393|S2,,,,1,1082,400
Faxadalur|COUN001393|S3,,,,1,1082,400
Faxadalur|COUN001393|S4,,,,1,1082,400
Faxadalur|COUN001393|S5,,,,1,1082,400
Faxadalur|COUN001393|S6,,,,1,1082,400
Faxadalur|COUN001393|S7,,,,1,1082,400
Faxadalur|COUN001393|S8,,,,1,1082,400
Faxadalur|COUN001393|S9,,,,1,1082,400
Federsee: Alleshausen-Grundweisen|COUN001142|S102,,,,1,6449,3649
Federsee: Alleshausen-Grundweisen|COUN001142|S106,,,,1,6449,3649
Federsee: Alleshausen-Grundweisen|COUN001142|S107,,,,1,6449,3649
Federsee: Alleshausen-Grundweisen|COUN001142|S110,,,,1,6449,3649
Federsee: Alleshausen-Grundweisen|COUN001142|S111,,,,1,6449,3649
Federsee: Alleshausen-Grundweisen|COUN001142|S112,,,,1,6449,3649
Federsee: Alleshausen-Grundweisen|COUN001142|S113,,,,1,6449,3649
Federsee: Alleshausen-Grundweisen|COUN001142|S114,,,,1,6449,3649
Federsee: Alleshausen-Grundweisen|COUN001142|S117,,,,1,6449,3649
Federsee: Alleshausen-Hartöschle|COUN001140|BugsPresence,,,1,,5869,5869
Federsee: Seekirch-Achweisen|COUN001143|BugsPresence,,,1,,4829,4454
Federsee: Seekirch-Stockweisen|COUN001141|BugsPresence,,,1,,4979,4839
Ferryland|COUN000844|E111,,,1,,329,277
Ferryland|COUN000844|E114,,,1,,330,330
Ferryland|COUN000844|E116,,,1,,330,330
Ferryland|COUN000844|E170,,,1,,330,330
Ferryland|COUN000844|E49,,,1,,277,0
Ferryland|COUN000844|E50,,,1,,329,277
Fiave F4|COUN000122|S1,,,,1,4449,2549
Fishbourne: medieval pit|COUN001474|S4,,,,1,1550,400
Fishbourne: medieval pit|COUN001474|S5,,,,1,1550,400
Fishbourne: Roman harbour|COUN000123|S1,,,1,,1907,1870
Fisherwick|COUN000437|S1j,1,,,,2338,1900
Fisherwick|COUN000437|S301j,1,,,,2338,1900
Fisherwick|COUN000437|S302f,1,,,,2338,1900
Fiskerton|COUN000124|S0_75m,,,,1,2599,1900
Fiskerton|COUN000124|S1_6m,,,,1,2599,1900
Flag Fen|COUN000126|Column_A_F4,,,,1,4449,2549
Flag Fen|COUN000126|Column_A_F5,,,,1,4449,2549
Flag Fen|COUN000126|Column_A_F6,,,,1,4449,2549
Flag Fen|COUN000126|Column_A_F7,,,,1,4449,2549
